snr_db,f0,f1,frequency_pair,folder,messages_found,messages_expected,passed
-5.999999999999993,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-5.999999999999993,7000.0,8000.0,7000-8000,7000-8000_speaker,121,125,False
-6.299999999999993,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-6.299999999999993,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-6.299999999999993,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-6.299999999999993,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-6.5999999999999925,15000.0,16000.0,15000-16000,15000-16000_speaker,124,125,False
-6.5999999999999925,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-6.5999999999999925,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-6.5999999999999925,7000.0,8000.0,7000-8000,7000-8000_speaker,122,125,False
-6.899999999999992,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-6.899999999999992,2000.0,3000.0,2000-3000,2000-3000_speaker,1,125,False
-6.899999999999992,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-6.899999999999992,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-7.199999999999992,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-7.199999999999992,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-7.199999999999992,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-7.199999999999992,7000.0,8000.0,7000-8000,7000-8000_speaker,121,125,False
-7.499999999999992,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-7.499999999999992,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-7.499999999999992,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-7.499999999999992,7000.0,8000.0,7000-8000,7000-8000_speaker,122,125,False
-7.799999999999992,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-7.799999999999992,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-7.799999999999992,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-7.799999999999992,7000.0,8000.0,7000-8000,7000-8000_speaker,118,125,False
-8.09999999999999,15000.0,16000.0,15000-16000,15000-16000_speaker,116,125,False
-8.09999999999999,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-8.09999999999999,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-8.09999999999999,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-8.399999999999991,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-8.399999999999991,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-8.399999999999991,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-8.399999999999991,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-8.699999999999992,15000.0,16000.0,15000-16000,15000-16000_speaker,110,125,False
-8.699999999999992,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-8.699999999999992,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-8.699999999999992,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-8.999999999999991,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-8.999999999999991,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-8.999999999999991,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-8.999999999999991,7000.0,8000.0,7000-8000,7000-8000_speaker,120,125,False
-9.29999999999999,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-9.29999999999999,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-9.29999999999999,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-9.29999999999999,7000.0,8000.0,7000-8000,7000-8000_speaker,104,125,False
-9.59999999999999,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-9.59999999999999,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-9.59999999999999,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-9.59999999999999,7000.0,8000.0,7000-8000,7000-8000_speaker,116,125,False
-9.899999999999991,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-9.899999999999991,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-9.899999999999991,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-9.899999999999991,7000.0,8000.0,7000-8000,7000-8000_speaker,108,125,False
-10.19999999999999,15000.0,16000.0,15000-16000,15000-16000_speaker,124,125,False
-10.19999999999999,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-10.19999999999999,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-10.19999999999999,7000.0,8000.0,7000-8000,7000-8000_speaker,108,125,False
-10.49999999999999,15000.0,16000.0,15000-16000,15000-16000_speaker,97,125,False
-10.49999999999999,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-10.49999999999999,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-10.49999999999999,7000.0,8000.0,7000-8000,7000-8000_speaker,115,125,False
-10.79999999999999,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-10.79999999999999,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-10.79999999999999,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-10.79999999999999,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-11.09999999999999,15000.0,16000.0,15000-16000,15000-16000_speaker,111,125,False
-11.09999999999999,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-11.09999999999999,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-11.09999999999999,7000.0,8000.0,7000-8000,7000-8000_speaker,97,125,False
-11.39999999999999,15000.0,16000.0,15000-16000,15000-16000_speaker,122,125,False
